,Security_Hash_Key,Effective_From_Date,Effective_To_Date,Hash_Diff_Effectivity,Is_Current,Is_Valid,dealDate,trancheBusinessKey,Pricing_currentLevel_type,bookState,hedgeBookState,timing,bookCloseLDN,bookCloseCET,Issuer_Hash_Key,name,issuerType,bondRatingType,countryName,issuerBusinessKey,lei,Moodys_Rating,SP_Rating,Fitch_Rating,currencyCode,expectedSize,actualSize,minimumDenomination,securities_isin,securityName,securityType,maturityTerm,maturityDate,coupon,seniority_name_1,seniority_name_1_adj,seniority_name_2,esgType,legalGoverningLaw_name_1,registrationType,referenceType,referenceName,index,referenceIsin,ipt,ipt_reference,ipt_price_down,ipt_price_up,ipt_equivalent,guidance,guidance_reference,guidance_price_down,guidance_price_up,guidance_equivalent,launch,launchValue,reoffer,reofferValue,reofferPrice,yieldToMaturity,status,moodys,sp,fitch,COUNTRY_ISO_CODE,ticker,ID_BB_Company,Ultimate_Obligor_ID,AFI_Commentary,AFI_Identifier_Obligor,Update_Date_Obligor,Coverage_Status_Obligor,Covered_By_Obligor,AGI_Financial_Obligor,Coverage_Status_Final_Company,Coverage_Status_Final_Company_Source,Coverage_Status_Final_Obligor,Coverage_Status_Final_Obligor_Source,finScore_upload_date,finScore_AFIIdentifier,Overall_Score,Financial_Score,Business_Score,Event_Score,Country_Ceiling,Risk_Cluster,ESG_Score,ECB_Demand,Industry_Group,Industry_Sector,frequency,paymentType,coupon_frequency,duration
2432,0c95a7ed6ebc75b5b1a0d6f19a0b41b5901955ec,2017-05-11 17:14:50.193000,9999-12-31 23:59:59.999999,2cee02d66a0e385511a142f9efade25ac9446b3d,1,1,2017-05-11,IPREO|38089,Reoffer,Final,Books Closed,,,,2075ea0360ded7abec0cd67e43ad5ef48249e48a,Westpac Banking Corporation,Financials,Investment Grade,Australia,IPREO|219295,EN5TNI6CI43VEPAMHL14,,,,EUR,Benchmark,1000000000,100000,XS1615085781,7 yr euro covered,Covered Bond,7.0,2024-05-17 02:00:00.000000,0.5,Secured,Secured,,,,Reg S,Mid Swaps,Mid Swaps,,,12bps area,,12.0,12.0,,"7YR guidance MS+8bps (+/-1) WPIR,  ",MS,8.0,8.0,"+/-1 WPIR,  ",MSW + 7 bps,7.0,MSW + 7 bps,7.0,99.644,,Priced,Aaa,,AAA,AU,WSTP,101650,101650.0,investable,BA00007,19.10.2021 14:20,covered_ok,AL_RK,Banks,covered_ok,SCF1Universe,covered_ok,SCF1Universe,,,,,,,,,,,Banks,Financial,Annually,Fixed (FXD),1,6.896384406068525
2167,0cedf43c193a9b32e21e9c830f5b1425f640c586,2017-05-15 15:38:09.423000,9999-12-31 23:59:59.999999,3529aca13f61a27d7661e364c2ab23c753fc6e21,1,1,2017-05-15,IPREO|39102,Reoffer,,Books Closed,"Books open, today's business",,,b38811dfb5794d8f42c786d2f6d85dc267a9d4e1,E.ON SE,Corporate,Investment Grade,Germany,IPREO|209172,Q9MAIUP40P25UFBFG033,Baa2,BBB,BBB+,EUR,Benchmark,500000000,1000,XS1616410061,EUR 7yr,Bond (standard),7.0,2024-05-22 02:00:00.000000,0.875,Senior,Sr Unsecured,Unsecured,,German,Reg S,Mid Swaps,Mid Swaps,,,MS+50/55,MS,50.0,55.0,,,,,,,MSW + 50 bps,50.0,MSW + 50 bps,50.0,99.347,,Priced,Baa2,BBB,,DE,EOANGR,115761,115761.0,investable,UTL00037,18.07.2022 17:09,ok,RR,Utilities,covered_ok,GSUniverse,covered_ok,GSUniverse,24.05.2023 06:08,UTL00037,5.786613,5.60035,6.531667,0.0,9.25,nc_weak,11.0,high,Electric,Utilities,Annually,Fixed (FXD),1,6.820454543675552
2290,0debad56e1dfdae92704d40f75f23bcea64996d7,2017-05-15 15:38:09.423000,9999-12-31 23:59:59.999999,3abd8df3a123e44baed778f55ccbe9babd2f36b5,1,1,2017-05-15,IPREO|39101,Reoffer,,Books Closed,"Books open, today's business",,,b38811dfb5794d8f42c786d2f6d85dc267a9d4e1,E.ON SE,Corporate,Investment Grade,Germany,IPREO|209172,Q9MAIUP40P25UFBFG033,Baa2,BBB,BBB+,EUR,Benchmark,750000000,1000, XS161641103,EUR Long 4yr,Bond (standard),4.0,2017-08-23 02:00:00.000000,0.375,Senior,Sr Unsecured,Unsecured,,German,Reg S,Mid Swaps,Mid Swaps,,,MS+35/40,MS,35.0,40.0,,,,,,,MSW + 32 bps,32.0,MSW + 32 bps,32.0,99.727,,Priced,Baa2,BBB,,DE,EOANGR,115761,115761.0,investable,UTL00037,18.07.2022 17:09,ok,RR,Utilities,covered_ok,GSUniverse,covered_ok,GSUniverse,24.05.2023 06:08,UTL00037,5.786613,5.60035,6.531667,0.0,9.25,nc_weak,11.0,high,Electric,Utilities,Annually,Fixed (FXD),1,3.9776398381165423
1768,165bb915b9dcd49df1597a9aac13ce0a8518238f,2017-05-15 15:38:09.423000,9999-12-31 23:59:59.999999,b28528567670b726a20e11a7e039828532b0f300,1,1,2017-05-15,IPREO|39103,Reoffer,,Books Closed,"Books open, today's business",,,b38811dfb5794d8f42c786d2f6d85dc267a9d4e1,E.ON SE,Corporate,Investment Grade,Germany,IPREO|209172,Q9MAIUP40P25UFBFG033,Baa2,BBB,BBB+,EUR,Benchmark,750000000,1000,XS1616411119,12yr,Bond (standard),12.0,2017-05-22 02:00:00.000000,1.625,Senior,Sr Unsecured,Unsecured,,German,Reg S,Mid Swaps,Mid Swaps,,,MS+75/80,MS,75.0,80.0,,,,,,,MSW + 72 bps,72.0,MSW + 72 bps,72.0,98.754,,Priced,Baa2,BBB,,DE,EOANGR,115761,115761.0,investable,UTL00037,18.07.2022 17:09,ok,RR,Utilities,covered_ok,GSUniverse,covered_ok,GSUniverse,24.05.2023 06:08,UTL00037,5.786613,5.60035,6.531667,0.0,9.25,nc_weak,11.0,high,Electric,Utilities,Annually,Fixed (FXD),1,10.998927236157495
938,efaea6cea707990b7fbd44a730c646006135e106,2017-05-16 14:17:34.180000,9999-12-31 23:59:59.999999,8169cf7ad1a7480e1cdb111919bf9bc1fc12a541,1,1,2017-05-16,IPREO|39132,Reoffer,Final,Books Closed,,,,cd65cae526d3a68217cedf899a2a956f35717302,Groupe Bruxelles Lambert,Corporate,Investment Grade,Belgium,IPREO|235280,549300KV0ZEHT2KVU152,A1,A+,,EUR,500m (WNG),500000000,100000,BE0002280494,New GBL 7yr,Bond (standard),7.0,2024-05-23 02:00:00.000000,1.375,Senior,Sr Unsecured,Unsecured,,Belgian,Reg S,Mid Swaps,Mid Swaps,,,MS+120 bps area,MS,120.0,120.0,,MS+100a +/-5 WPIR,MS,100.0,100.0,+/-5 WPIR,MSW + 95 bps,95.0,MSW + 95 bps,95.0,99.656,1.427,Priced,NR,NR,NR,BE,GBLBBB,117469,117469.0,investable,,,,,,,,,,,,,,,,,,5.0,medium,Investment Companies,Financial,Annually,Fixed (FXD),1,6.721518735032706
1963,f668a23fe7945883c8a8a5baf0868f5459355479,2017-05-16 17:35:30.387000,9999-12-31 23:59:59.999999,e8f9c07cfdc528a057f7d952d3b5433f1b0bc439,1,1,2017-05-16,IPREO|39116,Reoffer,,Books Closed,,,,075a02da3f3310e15a7f7a11737c62ec84ae7187,Banque Federative du Credit Mutuel,Financials,Investment Grade,France,IPREO|367241,VBHFXSYT7OG62HNT8T76,Aa3,A+,AA-,EUR,BMK,1250000000,100000,XS1617831026,BFCM EUR 10y Senior Preferred,Bond (standard),10.0,2027-05-26 02:00:00.000000,1.25,Unsecured,Sr preferred,,,English,Reg S,Mid Swaps,Mid Swaps,,,MS+65a,MS,65.0,65.0,, 50-55 (wpir),,50.0,55.0,wpir,MSW + 50 bps,50.0,MSW + 50 bps,50.0,99.256,1.33,Priced,Aa3,A,A+,FR,BFCM,191054,191054.0,investable,BA00057,19.10.2021 14:20,covered_ok,AL_RK,Banks,covered_ok,SCF1Universe,covered_ok,SCF1Universe,,,,,,,,,,,Banks,Financial,Annually,Fixed (FXD),1,9.462344981528624
1819,984db75d4a2146adac7b4ca980b30a82e0b3f4f6,2017-05-16 17:35:40.700000,9999-12-31 23:59:59.999999,45a4637536d9355b548e05734ba600a84a7ed548,1,1,2017-05-16,IPREO|39144,Reoffer,Books Closed,Books Closed,,,,f39b3ca795ffbec06b8ddda61d4425dbf605a0ac,International Business Machines Corporation,Corporate,Investment Grade,United States,IPREO|228507,VGRQXHF3J8VDLUA7XE92,A3,A-,,EUR,Benchmark,1000000000,100000,XS1617845679,IBM 12yr EUR,Bond (standard),12.0,2029-05-23 02:00:00.000000,1.5,Senior,Sr Unsecured,Unsecured,,New York State,SEC Registered,Mid Swaps,Mid Swaps,,,MS+70/75bps,MS,70.0,75.0,,MS+55/60,MS,55.0,60.0,,MSW + 50 bps,50.0,MSW + 50 bps,50.0,99.793,1.519,Priced,A1,A+,A+,US,IBM,100801,100801.0,investable,TEC00020,24.10.2019 08:51,ok,RK,Industrials,covered_ok,GSUniverse,covered_ok,GSUniverse,24.05.2023 06:08,TEC00020,6.247707,6.62255,6.998333,-0.45,6.995,c_moderate,,,Computers,Technology,Annually,Fixed (FXD),1,11.07111778507826
2118,a8098961f750ddea0e1e01cd280d48d9a4057c0a,2017-05-16 17:35:40.700000,9999-12-31 23:59:59.999999,ca3ce4331d64d81f05e377e9711170eb041d619a,1,1,2017-05-16,IPREO|39143,Reoffer,Books Closed,Books Closed,,,,f39b3ca795ffbec06b8ddda61d4425dbf605a0ac,International Business Machines Corporation,Corporate,Investment Grade,United States,IPREO|228507,VGRQXHF3J8VDLUA7XE92,A3,A-,,EUR,,1000000000,100000,XS1617845083,IBM 8yr EUR,Bond (standard),8.0,2025-05-23 02:00:00.000000,0.95,Senior,Sr Unsecured,Unsecured,,New York State,SEC Registered,Mid Swaps,Mid Swaps,,,MS+55/60bps  ,MS,55.0,60.0,,MS+40/45,MS,40.0,45.0,,MSW + 37 bps,37.0,MSW + 37 bps,37.0,99.831,0.972,Priced,A1,A+,A+,US,IBM,100801,100801.0,investable,TEC00020,24.10.2019 08:51,ok,RK,Industrials,covered_ok,GSUniverse,covered_ok,GSUniverse,24.05.2023 06:08,TEC00020,6.247707,6.62255,6.998333,-0.45,6.995,c_moderate,,,Computers,Technology,Annually,Fixed (FXD),1,7.74140464401229
2296,68c617a457ccc4fcbd0b0181a092e59893e3bd67,2017-05-17 13:29:40.783000,9999-12-31 23:59:59.999999,50e74e0d72f494bb7be4f4e53b042ece34ea9075,1,1,2017-05-17,IPREO|39168,Reoffer,Final,Books Closed,,,,04162650d2c5c9b284e2455b243d16e0d9093f17,Bertelsmann SE & Co. KGaA,Corporate,Investment Grade,Germany,IPREO|207132,5299001BUUGXAREGE533,Baa2,BBB,,EUR,500 WNG,500000000,100000,S1619283218 ,New Bertelsmann 4yr,Bond (standard),4.0,2021-05-26 02:00:00.000000,0.25,Senior,Sr Unsecured,Unsecured,,German,Reg S,Mid Swaps,Mid Swaps,,,MS+35,MS,35.0,35.0,,MS+25/27bps (WPIR),MS,25.0,27.0,WPIR,MSW + 25 bps,25.0,MSW + 25 bps,25.0,99.691,0.328,Priced,Baa1,BBB+,,DE,BERTEL,118200,118200.0,investable,CS00002,13.02.2020 10:49,ok,KS,Media,covered_ok,GSUniverse,covered_ok,GSUniverse,24.05.2023 06:08,CS00002,6.176187,6.2344,6.943333,-0.2,9.3,c_moderate,9.0,high,Media,Communications,Annually,Fixed (FXD),1,3.9850622664425854
1749,299fb1ccee72bc76d31c4e0cf97e99f82cfe5db0,2017-05-19 15:32:45.917000,9999-12-31 23:59:59.999999,c85ec1190653eda7ac2e7a4adaf389fc8ec0e355,1,1,2017-05-19,IPREO|39191,Reoffer,Final,Books Closed,,,,ec581f4add3792eecbfe73ad4cc38a25f6f76d12,Experian Finance PLC,Corporate,Investment Grade,Britain,IPREO|208970,635400RKRK5EGXSPC782,Baa1,A-,,EUR,500,500000000,100000,XS1621351045,9Yr,Bond (standard),9.0,2026-06-25 02:00:00.000000,1.375,Senior,Sr Unsecured,Unsecured,,English,Reg S,Mid Swaps,Mid Swaps,,,MS+75bp area,MS,75.0,75.0,,MS+65-70 WPIR,MS,65.0,70.0,,MSW + 70 bps,70.0,MSW + 70 bps,70.0,99.847,1.393,Priced,Baa1,A-,,GB,EXPNLN,111665,1475463.0,investable,,,,,,not_covered,GSUniverse,,,,,,,,,,,13.0,high,Commercial Services,"Consumer, Non-cyclical",Annually,Fixed (FXD),1,8.526857117867504
3079,ce69c5bb99044bc004cac2f80362651a1ee10a49,2017-05-22 13:57:14.620000,9999-12-31 23:59:59.999999,f11fc5b46da727c87ed6f650225daed0ca0e4c23,1,1,2017-05-22,IPREO|39198,Reoffer,,Books Closed,"PRICED, FTT 14.30 LDN ",14:30:00.0000000,,756839e79af12b6e7e2bc3688da2f1c8b1d7c490,The Export-Import Bank of Korea,Financials,Investment Grade,South Korea,IPREO|216952,549300APVP4R32PI3Y06,,,,EUR,Benchmark,750000000,100000,XS1619861864,5yr EUR,Bond (standard),5.0,2022-05-30 02:00:00.000000,0.5,Senior,Sr Unsecured,Unsecured,,English,Reg S,Mid Swaps,Mid Swaps,,,,,,,,MS+45bps area,MS,45.0,45.0,,MSW + 40 bps,40.0,MSW + 40 bps,40.0,99.401,0.622,Priced,Aa2,AA,AA-,KR,KOREA,186324,186324.0,uninvestable,,,,,,,,,,,,,,,,,,,,Sovereign,Government,Annually,Fixed (FXD),1,4.950495659739363
2418,51c076f6ad9239916955db46e5cc6cc0229566d7,2017-05-22 13:59:27.683000,9999-12-31 23:59:59.999999,3f444a45e5f2b50cbe3c24104cc95cc60ff1b07e,1,1,2017-05-22,IPREO|39193,Reoffer,Final,Books Closed,,,,b81a1ff57f44b1a8975270aae2a52c3b53a308ef,Rabobank Nederland,Financials,Investment Grade,Netherlands,IPREO|466156,DG3RU1DBUFHT4ZF9WN62,,,,EUR,,1000000000,100000,XS1622193321,RABOBANK EUR 15 Y COVERED ,Covered Bond,15.0,2032-05-31 02:00:00.000000,1.25,Secured,Secured,,,,Reg S,Mid Swaps,Mid Swaps,,,ms+14 area,MS,14.0,14.0,,15y MS +10a (+/- 1bp) wpir,MS,10.0,10.0,+/- 1bp wpir,MSW + 9 bps,9.0,MSW + 9 bps,9.0,99.147,1.313,Priced,Aaa,NR,NR,NL,RABOBK,156262,156262.0,investable,BA00128,19.10.2021 14:20,covered_ok,AL_RK,Banks,covered_ok,SCF1Universe,covered_ok,SCF1Universe,,,,,,,,,,,Banks,Financial,Annually,Fixed (FXD),1,13.770552748458565
2531,ab3390694046626e1b2cceafb4ee7acc0e8ae6ed,2017-05-22 13:59:27.683000,9999-12-31 23:59:59.999999,d3be3fa96a3767f78c6fb0b307e3b6958234f867,1,1,2017-05-22,IPREO|39194,Reoffer,Final,Books Closed,,,,b81a1ff57f44b1a8975270aae2a52c3b53a308ef,Rabobank Nederland,Financials,Investment Grade,Netherlands,IPREO|466156,DG3RU1DBUFHT4ZF9WN62,,,,EUR,,1500000000,100000,XS1622193248,RABOBANK EUR 7Y COVERED ,Covered Bond,7.0,2024-05-31 02:00:00.000000,0.25,Secured,Secured,,,,Reg S,Mid Swaps,Mid Swaps,,,ms-7 area,MS,-7.0,-7.0,,7y MS -10a (+/- 1bp) wpir,MS,-10.0,-10.0,+/- 1bp wpir,MSW - 11 bps,-11.0,MSW - 11 bps,-11.0,99.207,0.365,Priced,Aaa,NR,NR,NL,RABOBK,156262,156262.0,investable,BA00128,19.10.2021 14:20,covered_ok,AL_RK,Banks,covered_ok,SCF1Universe,covered_ok,SCF1Universe,,,,,,,,,,,Banks,Financial,Annually,Fixed (FXD),1,6.947848041048825
